Model,kA Raiting,Service Voltage (V),MCOV (Vac),kA Raiting Per Phase,Enclosure,Monitoring,Part Number,Voltage Config
ADSi,80,120/240 ,150,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-120T,Split
ADSi,80,120/208 ,150,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-120W,Wye
ADSi,80,127/220 ,150,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-127W,Wye
ADSi,80,220/380 ,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-220W,Wye
ADSi,80,240,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240D,Delta
ADSi,80,240/415,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240W,Wye
ADSi,80,240,150/320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240H,High Leg
ADSi,80,277/480 ,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-480W,Wye
ADSi,80,480,600,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-480D,Delta
ADSi,80,347/600 ,600,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-600W,Wye
ADSi,80,600,600,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-600D,Delta
ADSi,80,120,150,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-120S,Single
ADSi,80,240,320,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240S,Single
ADSi,160,120/240 ,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-120T,Split
ADSi,160,120/208 ,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-120W,Wye
ADSi,160,127/220 ,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-127W,Wye
ADSi,160,220/380 ,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-220W,Wye
ADSi,160,240,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240D,Delta
ADSi,160,240/415 ,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240W,Wye
ADSi,160,240,150/320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240H,High Leg
ADSi,160,277/480 ,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-480W,Wye
ADSi,160,480,600,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-480D,Delta
ADSi,160,347/600 ,600,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-600W,Wye
ADSi,160,600,600,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-600D,Delta
ADSi,160,120,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-120S,Single
ADSi,160,240,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240S,Single
ADSi,240,120/240 ,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-120T,Split
ADSi,240,120/208 ,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-120W,Wye
ADSi,240,127/220 ,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-127W,Wye
ADSi,240,220/380 ,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-220W,Wye
ADSi,240,240,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240D,Delta
ADSi,240,240/415 ,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240W,Wye
ADSi,240,240,150/320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240H,High Leg
ADSi,240,277/480 ,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-480W,Wye
ADSi,240,480,600,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-480D,Delta
ADSi,240,347/600 ,600,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-600W,Wye
ADSi,240,600,600,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-600D,Delta
ADSi,240,120,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-120S,Single
ADSi,240,240,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240S,Single
ADSc,80,120,150,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-120S,Single
ADSc,80,120/240 ,150,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-120T,Split
ADSc,80,120/208 ,150,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-120W,Wye
ADSc,80,127/220 ,150,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-127W,Wye
ADSc,80,240,320,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-240S,Single
ADSc,80,220/380,320,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-220W,Wye
ADSc,80,240,320,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-240D,Delta
ADSc,80,240/415 ,320,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-240W,Wye
ADSc,80,240,150/320,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-240H,High Leg
ADSc,80,277/480 ,320,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-480W,Wye
ADSc,80,480,600,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-480D,Delta
ADSc,80,347/600  ,600,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-600W,Wye
ADSc,80,600,600,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-600D,Delta
ADSc,100,120,150,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-120S,Single
ADSc,100,120/240,150,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-120T,Split
ADSc,100,120/208 ,150,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-120W,Wye
ADSc,100,127/220,150,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-127W,Wye
ADSc,100,240,320,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-240S,Single
ADSc,100,220/380,320,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-220W,Wye
ADSc,100,240,320,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-240D,Delta
ADSc,100,240/415 ,320,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-240W,Wye
ADSc,100,240,150/320,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-240H,High Leg
ADSc,100,277/480 ,320,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-480W,Wye
ADSc,100,480,600,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-480D,Delta
ADSc,100,347/600  ,600,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-600W,Wye
ADSc,100,600,600,200kA,"NEMA 12, Painted Steel",Green LED,ADSc-100-600D,Delta
ADSc,200,120,150,400kA,"NEMA 12, Painted Steel",Green LED,ADSc-200-120S,Single
ADSc,200,120/240,150,400kA,"NEMA 12, Painted Steel",Green LED,ADSc-200-120T,Split
ADSc,200,120/208 ,150,400kA,"NEMA 12, Painted Steel",Green LED,ADSc-200-120W,Wye
ADSc,200,127/220 ,150,400kA,"NEMA 12, Painted Steel",Green LED,ADSc-200-127W,Wye
ADSc,200,240,320,400kA,"NEMA 12, Painted Steel",Green LED,ADSc-200-240S,Single
